club_id,club,country_code,source_url,source_page,snapshot_date,competition,gender,entity_id,shirt_number,position,name,dob,age,age_reference_date,nationality,height_cm,appearances,passes_completed,pass_completion_pct,line_breaks_completed,goals,shots,direct_pressures,regains,distance_m,top_speed_kmh,sprints
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:1,1,GK,MOHAMED ELSHENAWY,1988-12-18,36,2025-06-14,Egypt,191,3,72,82.759,20,0,0,0,23,16407.7,27.5,9
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:3,3,DF,OMAR KAMAL,1993-09-29,31,2025-06-14,Egypt,185,1,11,100.0,0,0,1,4,0,4450.0,31.9,23
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:4,4,DF,AHMED RAMADAN,1997-03-23,28,2025-06-14,Egypt,186,2,52,91.228,22,0,0,4,11,12854.8,32.2,36
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:5,5,MF,BEN ROMDHANE Mohamed Ali,1999-09-06,25,2025-06-14,Tunisia,180,3,77,89.535,24,1,2,8,4,28326.4,34.6,105
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:6,6,DF,YASSER IBRAHIM,1993-02-10,32,2025-06-14,Egypt,185,2,122,95.312,16,0,0,4,7,18435.9,42.3,89
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:7,7,MF,TREZEGUET,1994-10-01,30,2025-06-14,Egypt,181,3,55,87.302,14,0,7,4,1,20386.9,35.4,124
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:8,8,MF,HAMDY FATHY,1994-09-29,30,2025-06-14,Egypt,183,3,58,84.058,16,0,3,8,6,21328.1,37.1,69
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:9,9,FW,WESSAM ABOU ALI,1999-01-04,26,2025-06-14,Palestine,185,3,29,82.857,4,3,7,7,4,20359.6,34.0,117
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:10,10,FW,GRADISAR Nejc,2002-08-06,22,2025-06-14,Slovenia,185,3,19,79.167,3,0,1,4,2,10314.8,33.8,62
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:13,13,MF,MARAWAN ATTIA,1998-08-01,26,2025-06-14,Egypt,176,2,113,92.623,33,0,1,31,12,20492.1,43.5,76
